Date,Open,High,Low,Close,Volume
2024-01-02,50483.0,50765.0,50186.0,50343.0,632893
2024-01-03,50560.0,50747.0,50162.0,50273.0,462462
2024-01-04,50503.0,50728.0,50338.0,50716.0,494597
2024-01-05,51828.0,51962.0,51740.0,51740.0,906242
2024-01-08,51503.0,51748.0,51468.0,51604.0,349415
2024-01-09,51392.0,51548.0,51299.0,51467.0,779682
2024-01-10,52451.0,52732.0,52305.0,52544.0,141869
2024-01-11,52952.0,53224.0,52750.0,53090.0,657243
2024-01-12,52794.0,53016.0,52768.0,52787.0,685676
2024-01-15,53048.0,53294.0,52734.0,53180.0,865612
2024-01-16,52924.0,53203.0,52640.0,52881.0,110207
2024-01-17,52574.0,52624.0,52533.0,52582.0,318401
2024-01-18,52731.0,53207.0,52579.0,52769.0,259292
2024-01-19,51337.0,51619.0,50954.0,51477.0,577266
2024-01-22,50256.0,50693.0,50240.0,50343.0,596762
2024-01-23,50109.0,50149.0,49971.0,49996.0,305157
2024-01-24,49431.0,49560.0,49058.0,49357.0,122031
2024-01-25,49433.0,49675.0,49308.0,49579.0,563937
2024-01-26,49028.0,49091.0,48812.0,49013.0,967239
2024-01-29,48241.0,48323.0,47776.0,48133.0,695600
2024-01-30,48824.0,49172.0,48585.0,49069.0,684054
2024-01-31,49025.0,49137.0,48831.0,48945.0,243521
2024-02-01,48910.0,49012.0,48866.0,49007.0,451977
2024-02-02,48202.0,48615.0,47935.0,48119.0,287771
2024-02-05,47689.0,48128.0,47618.0,47798.0,337199
2024-02-06,47627.0,47970.0,47419.0,47886.0,861019
2024-02-07,46958.0,47196.0,46604.0,47189.0,860129
2024-02-08,47445.0,47468.0,47145.0,47438.0,735329
2024-02-09,47123.0,47239.0,46995.0,47087.0,740473
2024-02-12,46800.0,47119.0,46590.0,46927.0,277164
2024-02-13,46668.0,46716.0,46552.0,46579.0,556887
2024-02-14,47481.0,48037.0,47145.0,47719.0,634638
2024-02-15,47720.0,47806.0,47658.0,47730.0,851518
2024-02-16,46921.0,47214.0,46894.0,47092.0,987291
2024-02-19,47522.0,47707.0,47433.0,47615.0,613313
2024-02-20,46885.0,47180.0,46579.0,46878.0,885858
2024-02-21,46903.0,47255.0,46806.0,47024.0,168487
2024-02-22,45792.0,46114.0,45695.0,45845.0,248694
2024-02-23,45208.0,45248.0,44861.0,45072.0,223853
2024-02-26,45127.0,45394.0,44608.0,45205.0,415261
2024-02-27,45772.0,46080.0,45652.0,45657.0,335062
2024-02-28,45622.0,45861.0,45299.0,45777.0,551610
